customer_id,customer_name,city,state,segment
194,Torres LLC,Acostashire,Nebraska,Government
195,"Duarte, Garcia and West",Port John,Kansas,Wholesale
196,Olson Ltd,Josephmouth,Virginia,Government
197,Vincent Inc,Medinaland,Pennsylvania,Retail
198,Phillips-Duncan,Monicaberg,Texas,Wholesale
199,Hart Ltd,Lake Sherry,Oregon,Government
200,Black Group,Baileyport,Michigan,Wholesale
201,Jackson Ltd,Lake Brian,Utah,Retail
202,Hernandez-Norris,Leeborough,Idaho,Retail
203,George-Jones,Willisbury,Georgia,Government
204,"Terry, Hicks and Rogers",Amandaland,Georgia,Wholesale
205,"Graham, Weiss and Mcguire",New Kevin,Florida,Corporate
206,"Wade, Villa and Underwood",South Michael,Arkansas,Retail
207,"Harding, Brooks and May",Port Jacquelinetown,New Hampshire,Corporate
208,Cardenas-Anderson,Port Bryan,North Dakota,Government
209,Landry PLC,South Andrew,Utah,Retail
210,"Dixon, Kennedy and Martin",South Codyview,Georgia,Corporate
211,Ray-Holland,West Jeffreyfort,Utah,Retail
212,Stout-Williams,Weberberg,Idaho,Corporate
213,"Garcia, Coffey and Ramos",New Daniel,Mississippi,Wholesale
214,Smith-Clark,Lynchport,Wisconsin,Wholesale
215,Baker-Duke,Lake Robinfurt,Tennessee,Government
216,"Smith, Floyd and Craig",Lake Felicia,New Jersey,Retail
217,Patel-Cunningham,West Williambury,Minnesota,Corporate
218,Kirby-Russell,Smithfurt,Nebraska,Government
219,"Mcdaniel, Robinson and Ellis",Jonesfort,Arkansas,Wholesale
220,Murray Group,Tyroneberg,Alaska,Wholesale
221,Benton-Richardson,Port Courtney,Minnesota,Government
222,Lynch-Becker,New Adambury,Maryland,Retail
223,Luna-Baird,Shawnashire,West Virginia,Corporate
224,"Pratt, Espinoza and Massey",East Jennifer,Wyoming,Wholesale
225,"Gonzalez, Wright and Bennett",Bensonfurt,New York,Government
226,Turner-Levine,Kennedyview,Texas,Wholesale
227,Lee PLC,South Robert,Hawaii,Wholesale
228,"Perry, Hatfield and Steele",Howardtown,Missouri,Corporate
229,Hawkins-Jackson,Ashleyport,Oklahoma,Retail
230,"George, Baird and Ramos",New Susanborough,North Carolina,Retail
231,"Taylor, James and Ball",Matthewfort,New Hampshire,Corporate
232,Ryan LLC,Rachelmouth,Nevada,Government
233,Spence Inc,Timothyton,Minnesota,Government
234,Jones-Matthews,East Raymondfurt,Indiana,Retail
235,"Martin, Villanueva and White",Rachelland,Ohio,Wholesale
236,"Wells, Clark and Sullivan",Jesseside,Virginia,Wholesale
237,Howard-Carey,East Janet,Nebraska,Government
238,"Walker, Callahan and Rodriguez",South Christinaburgh,Georgia,Corporate
239,Walters-Barry,Madisonfort,Rhode Island,Wholesale
240,Lynch Inc,Lake Josephfurt,Wisconsin,Government
241,Daniels-Myers,Stewartfurt,Utah,Corporate
242,"Gonzales, Lee and Oliver",Lake Lawrenceport,Kansas,Retail
243,Smith LLC,North Terri,South Carolina,Corporate
244,Hayes LLC,Lake Jeffreyview,Washington,Retail
245,Vasquez Inc,Ronaldburgh,Wisconsin,Government
246,"Murray, Lane and Smith",Lake Bobbyside,Nevada,Corporate
247,"Reyes, Weber and Hayes",Richardberg,Mississippi,Government
248,Gray PLC,Douglasmouth,South Dakota,Retail
249,"Robles, Stokes and Sexton",Lake Kimberlyborough,New York,Wholesale
250,Craig-Miller,New Lindashire,New Jersey,Wholesale
251,"Hammond, Perez and Smith",Lake Alexander,Colorado,Retail
252,Houston Group,Angelachester,Florida,Wholesale
253,Khan-Wong,New Beth,Maryland,Wholesale
254,Lucas LLC,Alexanderfurt,Wyoming,Corporate
255,Huffman-Burnett,Johnside,New Jersey,Corporate
256,"Sanchez, Anderson and Butler",North Brookefort,Connecticut,Wholesale
257,Davis and Sons,Kellyfurt,New Mexico,Corporate
258,"Blake, Chan and Smith",Nunezport,New Jersey,Retail
259,"Robinson, Gonzalez and Lowe",New Scotthaven,North Dakota,Corporate
260,Kennedy-Browning,Smithmouth,Hawaii,Corporate
261,"Nguyen, Garcia and Harris",Colemanton,Kansas,Corporate
262,Johnson PLC,Claytonberg,Kentucky,Government
263,Richmond-Fox,Royshire,California,Retail
264,Miller-Webster,Patrickfort,Kansas,Wholesale
265,"Perez, Castillo and Mitchell",Woodfurt,Kansas,Wholesale
266,Lopez-Walker,Jenniferside,California,Government
267,Joseph-Marshall,Sethland,California,Corporate
268,"Jennings, Choi and Garcia",New Ericatown,New York,Retail
269,"Miller, Lee and Sutton",Jamieton,Connecticut,Retail
270,Barker-Zimmerman,Russellmouth,Connecticut,Wholesale
271,"Jennings, Graves and Carter",Angelicachester,Wyoming,Government
272,"Reyes, Peck and Jordan",East Mariaport,Florida,Government
273,Rice-Taylor,Lake Alexander,Oklahoma,Government
274,"Young, Davis and Garcia",New Bobby,Ohio,Government
275,Shelton Group,Jillianchester,Idaho,Retail
276,"Patterson, Tanner and Stone",Lake Colleenfort,Colorado,Corporate
277,Lam-Martin,Claudiafurt,Kentucky,Wholesale
278,"Mckinney, Allison and Harris",South Javierberg,Alabama,Retail
279,Smith-Robertson,Lindaland,Arizona,Government
280,Rodriguez and Sons,Ralphland,Virginia,Government
281,"Decker, Herring and Miller",Amymouth,Virginia,Wholesale
282,Kirk-Ellis,Port Grant,Idaho,Corporate
283,Patel LLC,Cassidyberg,Nevada,Corporate
284,Gill Group,East Stephanie,Montana,Corporate
285,Walker Inc,Xavierhaven,Connecticut,Government
286,Harris and Sons,North Tyler,Idaho,Retail
287,Krueger-Fisher,West Stephanieburgh,Rhode Island,Retail
288,"Soto, Kelly and Henderson",North Steven,Alaska,Corporate
289,Davis-Graham,West Jennifer,New Mexico,Wholesale
290,"Kemp, White and Wilcox",East Brenda,Tennessee,Corporate
291,"Nicholson, Johnson and Valdez",West Deanna,Iowa,Corporate
292,"Lopez, Bryant and Riggs",Greerland,West Virginia,Wholesale
293,"Tran, Lopez and Burgess",Lake Martin,Connecticut,Corporate
294,"Tyler, Rose and George",Morrisonside,Virginia,Wholesale
295,"Robinson, Mitchell and Summers",Port Bradmouth,Wyoming,Wholesale
296,Malone-Butler,New Margaret,Delaware,Retail
297,Davis-Henry,Shellyfort,California,Wholesale
298,Berger-Scott,Jamieport,Georgia,Corporate
299,"Torres, Ward and Stafford",West John,Missouri,Wholesale
300,Brown-White,New Cory,Wyoming,Corporate
301,"Wallace, Harris and Weber",Port Nicolemouth,Kansas,Wholesale
302,Martin and Sons,Elizabethstad,Vermont,Retail
303,"Davis, Blankenship and Ho",Cynthiaton,Nevada,Corporate
304,"Reed, Brown and Lewis",Torresburgh,New Mexico,Corporate
305,"Ayala, Powell and Vasquez",North Paul,Massachusetts,Corporate
306,Miller Ltd,Port Jessica,Texas,Wholesale
307,"Pope, Hunt and Weber",North Jonathanburgh,South Carolina,Retail
308,Manning-Bowen,Alexanderside,North Dakota,Retail
309,Brown PLC,New Christopher,Delaware,Retail
310,Schroeder and Sons,South Leah,New Jersey,Retail
311,Williams LLC,Tinaton,Utah,Wholesale
312,"Greene, Nixon and Ruiz",New Matthew,South Dakota,Corporate
313,"Shaw, Anderson and Atkinson",Timothyhaven,Indiana,Government
314,"Nguyen, Phelps and Logan",Kruegerhaven,Delaware,Retail
315,"Murphy, Ryan and Bradley",South Thomas,Virginia,Government
316,"Blevins, Anderson and Hill",Lorifurt,Michigan,Wholesale
317,Williams-Griffin,North Judith,North Dakota,Wholesale
318,"Edwards, Hester and Williams",South Nicole,Alaska,Government
319,Benitez-Schroeder,North Amanda,Nevada,Corporate
320,Pierce Group,Lake Edward,Illinois,Government
321,"Byrd, Bowman and Mccoy",Sharonchester,North Dakota,Wholesale
322,"Reynolds, Parsons and Carpenter",Carlchester,Indiana,Government
323,"Nicholson, Miller and Young",New Mark,Alabama,Retail
324,Tapia Ltd,East Monique,North Dakota,Retail
325,Mayer-Tyler,West Christophermouth,Alabama,Corporate
326,"Williams, Rosales and Carlson",Jeffreychester,Missouri,Government
327,Ross PLC,Shaneborough,Virginia,Government
328,Jones Inc,North Bryanbury,Vermont,Government
329,Johnson LLC,Burtonfurt,Oklahoma,Government
330,Gonzalez and Sons,Pricefurt,Louisiana,Corporate
331,Thomas Inc,Jimenezfort,Indiana,Wholesale
332,"Skinner, Hubbard and Stevens",South Danielle,Arkansas,Corporate
333,"Davis, Williams and Johnson",Jerrymouth,Idaho,Wholesale
334,Oliver Ltd,West William,Michigan,Wholesale
335,Cox-Lewis,Chavezberg,South Dakota,Wholesale
336,"Santiago, Ramos and Price",New Robert,Idaho,Government
337,Mcclure PLC,New Stacy,Arkansas,Corporate
338,Taylor-Smith,West Marvinland,North Dakota,Wholesale
339,Lopez Ltd,Thomasburgh,Kentucky,Retail
340,Spence Ltd,West Melissa,Alabama,Wholesale
341,"Baker, Sanchez and Brewer",Samanthabury,Indiana,Corporate
342,"Sullivan, White and Quinn",Hernandezland,Minnesota,Government
343,Bishop-Lopez,West Valeriemouth,North Carolina,Retail
344,Harrison Ltd,Millershire,Kansas,Wholesale
345,Hamilton-Sims,Audreyfort,Ohio,Government
346,Peterson-Duran,Smithside,California,Corporate
347,Adams LLC,Sandersborough,Georgia,Corporate
348,"Hudson, Hardy and Hoover",Wheelerborough,West Virginia,Retail
349,"Tran, Jenkins and Perez",Port Sherry,Utah,Retail
350,Anderson-Perez,East Lisa,Florida,Wholesale
351,Knight LLC,Davisfort,Idaho,Government
352,Ortiz-Schneider,Lake Mauriceton,Colorado,Government
353,Smith LLC,Powellbury,Arizona,Corporate
354,Johnson-Murray,South Andrew,Vermont,Corporate
355,"Mckenzie, Turner and Downs",Moralestown,Missouri,Wholesale
356,Craig LLC,Mirandachester,Utah,Wholesale
357,Douglas-Knox,Cummingstown,Arkansas,Corporate
358,"Johnson, Nguyen and Brown",North John,Alaska,Corporate
359,"Moore, Simmons and White",North Robyn,Iowa,Government
360,Mills Group,West John,Arkansas,Government
361,"Galvan, Schwartz and Gray",Pughland,Delaware,Government
362,"Lopez, Hodges and Wallace",North Kevin,Ohio,Wholesale
363,Krause-Rodriguez,New Robertostad,Colorado,Government
364,Baker Group,South Donaldbury,New Jersey,Retail
365,Hopkins Inc,East Kurtville,Arkansas,Retail
366,"Cain, Terry and Moore",North Judytown,New Hampshire,Government
367,"Davis, Bryant and Watkins",Travisfurt,North Carolina,Government
368,Hernandez-George,New Matthewfurt,New York,Corporate
369,Briggs LLC,South Oscarshire,New York,Corporate
370,Gonzalez PLC,Alvarezville,South Dakota,Wholesale
371,Smith PLC,East Jacobland,Iowa,Retail
372,Mann-Solis,Velazquezport,Tennessee,Retail
373,Burnett-Mullen,East Jesus,Mississippi,Wholesale
374,James-Snow,North Laura,Massachusetts,Government
375,Martinez Inc,West Kristimouth,Mississippi,Government
376,"Kline, Saunders and Singh",New Ronnieberg,Maine,Wholesale
377,Brown Group,Port Michael,Ohio,Retail
378,Lopez-Miller,Norrischester,Louisiana,Retail
379,Johnson-Mays,Lake Kathryn,Idaho,Government
380,Ross-Ellison,North Christopherfurt,Minnesota,Corporate
381,"Shields, Kennedy and Benson",Bankston,Idaho,Wholesale
382,Cook-Woods,Hannahmouth,Nebraska,Wholesale
383,Johnson-Shepard,South Alexanderstad,Washington,Government
384,Rasmussen-Macias,Michaelmouth,New York,Wholesale
385,"Lambert, Medina and Mcbride",South Davidland,Oklahoma,Retail
386,Bryant-Mckinney,South Johnhaven,California,Government
387,Combs Ltd,New Nicholas,Kansas,Retail
388,"Berry, Williams and Galvan",Davidland,Nebraska,Corporate
389,Nelson LLC,Michaelburgh,West Virginia,Wholesale
390,"Ellis, Frost and Walters",East Andrew,Nebraska,Wholesale
391,Fuller PLC,Jamesmouth,Maine,Retail
392,Simmons Ltd,Adamland,South Carolina,Government
393,Smith-Cowan,Johnsonstad,Colorado,Government
394,Harrison-Hester,Goodwinchester,Alabama,Wholesale
395,"Gonzalez, Kelly and Gillespie",Sharonfurt,Louisiana,Retail
396,"Rush, Robertson and Aguilar",Danielleberg,New York,Corporate
397,Lopez-Norton,Lake Markfort,Texas,Retail
398,Villarreal-Williams,South Susan,New Mexico,Government
399,"Bush, Carr and Nguyen",East Catherine,Massachusetts,Wholesale
400,Bates and Sons,New Ronald,New Mexico,Wholesale
401,"Torres, Hanson and Pruitt",Lake Katherineshire,Illinois,Wholesale
402,Hampton Ltd,Millerchester,Connecticut,Corporate
403,Zavala Inc,Andersonberg,Montana,Corporate
404,Webster Group,West Carolshire,South Carolina,Government
405,Mora-Fields,South Toddton,Pennsylvania,Retail
406,Riggs-Fisher,Elizabethberg,Alabama,Retail
407,"Johnson, Foster and Martinez",Lake Albert,Tennessee,Retail
408,Villarreal Ltd,Port Chelseaton,New York,Corporate
409,Lopez Inc,West Henrystad,Indiana,Wholesale
410,"Dunlap, Perez and Gonzalez",Brandonberg,California,Government
411,Rose LLC,Romerohaven,Massachusetts,Government
412,"Williams, Bryant and Rodgers",Brownside,Nebraska,Corporate
413,Mora-Hart,North Maryburgh,Louisiana,Corporate
414,Ingram-Nelson,New Seanside,North Dakota,Wholesale
415,Lester Ltd,Kaitlynland,Nevada,Wholesale
416,Martinez PLC,East Mary,Tennessee,Corporate
417,"Williams, Davis and Vazquez",Port Sierraborough,New Hampshire,Government
418,"Mcpherson, Schmidt and Cook",Kleinstad,North Carolina,Wholesale
419,Holt-Johnson,West Daniellemouth,Iowa,Wholesale
420,"Lee, Johnson and Roman",Kingmouth,South Dakota,Government
421,Anderson and Sons,Reedside,Idaho,Wholesale
422,Navarro-Randall,South Jamieview,North Carolina,Government
423,Singh Ltd,Wadefurt,Kentucky,Retail
424,Campbell PLC,Pollardchester,Virginia,Wholesale
425,Brooks-Young,Phillipsburgh,Pennsylvania,Wholesale
426,Rojas-Booth,Port Christopherchester,Illinois,Retail
427,"Williams, Martin and Marshall",Kimmouth,Rhode Island,Government
428,Buchanan Group,North Ericabury,Pennsylvania,Wholesale
429,Taylor-Hayes,West Kathleen,North Carolina,Retail
430,Campbell Inc,East Dawntown,Maine,Government
431,Murphy Inc,Martinezville,Tennessee,Wholesale
432,Moore Group,East Pamelaberg,North Carolina,Corporate
433,Sanders LLC,Port Tammy,Maine,Retail
434,"Ward, Cisneros and Price",Port Beth,California,Government
435,Cole Inc,New Chadburgh,Arizona,Corporate
436,Wilson-Porter,Micheleview,Alabama,Government
437,Lucas-Davidson,Michaelville,North Carolina,Corporate
438,Hooper-Torres,West Kristinton,Florida,Corporate
439,"Morgan, Taylor and Cline",East Benjaminton,New Hampshire,Retail
440,Rodriguez-Chan,Lisamouth,New Jersey,Retail
441,Potter Group,Joyport,Connecticut,Corporate
442,"Martinez, Ingram and Fields",Riveraberg,Ohio,Retail
443,Hawkins Inc,Kleinmouth,Michigan,Government
444,"White, Nelson and Stevens",Richardton,Connecticut,Wholesale
445,Roy-Wright,Joneschester,South Dakota,Government
446,Cooper Group,South Jeanette,Montana,Corporate
447,Cortez Ltd,Lake Carl,Rhode Island,Government
448,Miller-Berry,Randolphshire,Vermont,Corporate
449,Fisher LLC,West Jimmyside,Ohio,Government
450,Lucas-Johnson,West Jimmy,Nebraska,Government
451,Gray and Sons,Jenniferville,Colorado,Retail
452,Reilly Ltd,Brendatown,Vermont,Corporate
453,"Sims, Flores and Lawson",Stevenfort,Rhode Island,Corporate
454,Campbell and Sons,Morganfurt,South Dakota,Wholesale
455,Duncan Ltd,West Brianville,Alabama,Government
456,Peters-Collins,Terrihaven,New York,Government
457,Miller PLC,Simpsonfort,Connecticut,Wholesale
458,Jordan-Phillips,Cassieborough,West Virginia,Corporate
459,Martin-Watson,West Robert,South Carolina,Government
460,Bryant and Sons,Alexanderfort,New Jersey,Wholesale
461,"Francis, Hardy and Conley",Andersonland,Wyoming,Wholesale
462,"Kline, Johnson and Williams",Lopezburgh,Iowa,Wholesale
463,Silva-Francis,East Amandamouth,Maryland,Government
464,Clay-Chambers,Stephanieview,Virginia,Corporate
465,Jensen PLC,Fisherstad,Connecticut,Corporate
466,"Allison, Wilkerson and Hays",West Jennifermouth,Wisconsin,Wholesale
467,"May, Lynn and Burns",Lake Markland,Rhode Island,Wholesale
468,Burns PLC,Williamfort,Connecticut,Corporate
469,Bowers Inc,Lake Paige,Illinois,Wholesale
470,Finley-Stanley,South Megan,Arkansas,Wholesale
471,"Collins, Armstrong and Barker",Port Tiffany,Nevada,Corporate
