claim_id,policy_id,claim_date,claim_type,amount,status,description
40,12,2024-05-09,Liability,6738.43,Closed,Liability claim for policy 12
41,15,2024-07-17,Collision,29416.48,Open,Collision claim for policy 15
42,16,2025-10-16,Theft,29319.18,Settled,Theft claim for policy 16
43,77,2024-06-14,Theft,18872.57,Denied,Theft claim for policy 77
44,108,2024-08-07,Weather,43949.18,Closed,Weather claim for policy 108
45,199,2024-09-26,Theft,29707.87,Open,Theft claim for policy 199
46,171,2025-10-12,Weather,17461.42,Closed,Weather claim for policy 171
47,29,2024-07-08,Liability,29684.15,Settled,Liability claim for policy 29
48,197,2025-11-28,Liability,43561.07,Settled,Liability claim for policy 197
49,70,2024-08-16,Theft,49738.49,Closed,Theft claim for policy 70
50,44,2024-03-30,Fire,11416.5,Open,Fire claim for policy 44
51,115,2026-03-17,Fire,1153.48,Open,Fire claim for policy 115
52,53,2024-05-26,Fire,38260.12,Closed,Fire claim for policy 53
53,98,2024-05-13,Theft,7664.5,Settled,Theft claim for policy 98
54,50,2026-03-11,Weather,36594.52,Denied,Weather claim for policy 50
55,19,2024-05-14,Theft,42429.76,Open,Theft claim for policy 19
56,1,2024-04-07,Fire,42514.14,Closed,Fire claim for policy 1
57,30,2024-02-05,Theft,31844.99,Open,Theft claim for policy 30
58,194,2025-10-03,Weather,34892.96,Settled,Weather claim for policy 194
59,121,2024-01-03,Liability,17227.71,Denied,Liability claim for policy 121
60,157,2024-03-21,Fire,5633.73,Denied,Fire claim for policy 157
61,56,2026-01-21,Liability,23647.56,Denied,Liability claim for policy 56
62,12,2024-03-02,Theft,44569.75,Open,Theft claim for policy 12
63,12,2026-05-27,Liability,14850.63,Open,Liability claim for policy 12
64,152,2024-05-08,Liability,42377.13,Settled,Liability claim for policy 152
65,175,2025-06-11,Theft,21646.37,Closed,Theft claim for policy 175
66,19,2025-07-26,Theft,23574.52,Settled,Theft claim for policy 19
67,183,2026-06-03,Fire,35697.39,Denied,Fire claim for policy 183
68,156,2024-07-06,Weather,22164.36,Denied,Weather claim for policy 156
69,66,2024-02-17,Fire,27499.28,Closed,Fire claim for policy 66
70,60,2026-05-16,Theft,39298.5,Denied,Theft claim for policy 60
71,48,2025-08-26,Liability,38342.01,Closed,Liability claim for policy 48
72,58,2026-04-02,Weather,43318.93,Settled,Weather claim for policy 58
73,91,2024-06-21,Liability,14397.45,Closed,Liability claim for policy 91
74,119,2024-08-02,Collision,21540.36,Denied,Collision claim for policy 119
75,199,2024-05-04,Liability,45960.7,Denied,Liability claim for policy 199
76,165,2025-05-14,Theft,34590.09,Denied,Theft claim for policy 165
77,193,2024-05-25,Fire,31278.33,Settled,Fire claim for policy 193
78,179,2026-04-01,Liability,40027.57,Settled,Liability claim for policy 179
79,160,2024-03-27,Liability,41686.16,Open,Liability claim for policy 160
80,3,2024-06-07,Liability,13733.17,Closed,Liability claim for policy 3
81,136,2025-04-23,Fire,30402.92,Settled,Fire claim for policy 136
82,150,2025-08-04,Theft,10829.5,Open,Theft claim for policy 150
83,36,2026-05-10,Fire,2300.42,Open,Fire claim for policy 36
84,152,2026-04-06,Weather,42223.4,Denied,Weather claim for policy 152
85,47,2024-03-01,Weather,27555.54,Closed,Weather claim for policy 47
86,181,2026-03-11,Liability,23541.43,Denied,Liability claim for policy 181
87,180,2025-08-07,Liability,27883.85,Denied,Liability claim for policy 180
88,101,2024-10-17,Theft,25732.84,Closed,Theft claim for policy 101
89,14,2026-05-13,Collision,14995.52,Settled,Collision claim for policy 14
90,43,2025-05-07,Fire,39717.05,Denied,Fire claim for policy 43
91,7,2024-03-23,Theft,26444.99,Settled,Theft claim for policy 7
92,26,2024-11-26,Theft,15015.33,Denied,Theft claim for policy 26
93,44,2026-05-14,Liability,16375.03,Settled,Liability claim for policy 44
94,41,2026-01-21,Theft,24427.27,Denied,Theft claim for policy 41
95,42,2024-06-16,Fire,11215.65,Denied,Fire claim for policy 42
96,59,2024-02-10,Weather,18284.51,Closed,Weather claim for policy 59
97,93,2024-03-02,Collision,8335.5,Open,Collision claim for policy 93
98,78,2025-09-02,Liability,48428.04,Denied,Liability claim for policy 78
99,125,2024-09-30,Fire,10679.65,Settled,Fire claim for policy 125
100,149,2025-01-11,Collision,28145.27,Open,Collision claim for policy 149
101,32,2024-01-24,Liability,3342.02,Open,Liability claim for policy 32
102,33,2025-12-17,Liability,1437.28,Closed,Liability claim for policy 33
103,63,2024-05-09,Collision,43396.34,Closed,Collision claim for policy 63
104,109,2025-07-09,Liability,23441.18,Open,Liability claim for policy 109
105,39,2024-07-11,Collision,24586.85,Settled,Collision claim for policy 39
106,55,2024-06-30,Liability,27870.76,Open,Liability claim for policy 55
107,187,2024-06-06,Liability,43596.96,Open,Liability claim for policy 187
108,30,2026-03-03,Weather,21484.27,Denied,Weather claim for policy 30
109,106,2026-05-26,Liability,26969.96,Denied,Liability claim for policy 106
110,187,2025-06-19,Theft,47404.38,Closed,Theft claim for policy 187
111,154,2025-06-10,Liability,34063.71,Closed,Liability claim for policy 154
112,103,2025-12-22,Weather,45193.4,Open,Weather claim for policy 103
113,129,2024-09-09,Theft,38575.55,Open,Theft claim for policy 129
114,167,2024-07-05,Theft,8692.44,Denied,Theft claim for policy 167
115,19,2026-03-16,Fire,36238.81,Open,Fire claim for policy 19
116,146,2025-02-15,Fire,39523.51,Open,Fire claim for policy 146
117,75,2024-07-02,Collision,35294.56,Settled,Collision claim for policy 75
118,93,2024-05-10,Liability,49455.01,Open,Liability claim for policy 93
119,131,2024-09-12,Theft,9095.81,Settled,Theft claim for policy 131
120,17,2025-09-25,Fire,46542.07,Closed,Fire claim for policy 17
121,102,2025-08-07,Collision,28007.61,Settled,Collision claim for policy 102
122,119,2024-05-08,Fire,36956.23,Settled,Fire claim for policy 119
123,38,2024-01-09,Collision,20165.21,Closed,Collision claim for policy 38
124,5,2024-07-08,Collision,38899.26,Open,Collision claim for policy 5
125,56,2024-01-22,Collision,19041.58,Settled,Collision claim for policy 56
126,196,2026-04-06,Weather,26407.43,Denied,Weather claim for policy 196
127,17,2026-06-08,Fire,37468.67,Closed,Fire claim for policy 17
128,154,2025-12-18,Theft,16367.44,Settled,Theft claim for policy 154
129,6,2024-09-19,Weather,18925.37,Denied,Weather claim for policy 6
130,100,2024-01-03,Fire,16302.02,Denied,Fire claim for policy 100
131,59,2026-05-09,Theft,36500.96,Closed,Theft claim for policy 59
132,43,2024-09-14,Theft,28225.15,Settled,Theft claim for policy 43
133,181,2025-03-06,Liability,10017.3,Denied,Liability claim for policy 181
134,172,2025-03-11,Fire,26102.65,Settled,Fire claim for policy 172
135,14,2025-01-06,Liability,36172.79,Denied,Liability claim for policy 14
136,106,2024-08-21,Weather,12991.68,Denied,Weather claim for policy 106
137,1,2024-09-17,Theft,31457.51,Settled,Theft claim for policy 1
138,96,2026-03-17,Collision,45254.35,Open,Collision claim for policy 96
139,124,2024-07-09,Liability,17914.68,Settled,Liability claim for policy 124
140,184,2025-09-01,Theft,39809.23,Settled,Theft claim for policy 184
141,54,2024-06-09,Collision,25121.06,Denied,Collision claim for policy 54
142,79,2024-10-13,Collision,43223.1,Settled,Collision claim for policy 79
143,164,2026-04-23,Fire,45980.12,Closed,Fire claim for policy 164
144,93,2024-09-26,Liability,8654.11,Closed,Liability claim for policy 93
145,18,2026-01-18,Collision,46884.55,Settled,Collision claim for policy 18
146,48,2026-05-01,Collision,16498.73,Denied,Collision claim for policy 48
147,47,2024-11-01,Fire,40802.71,Denied,Fire claim for policy 47
148,113,2025-01-05,Weather,31602.44,Closed,Weather claim for policy 113
149,124,2024-01-26,Collision,2782.05,Open,Collision claim for policy 124
150,19,2025-08-13,Collision,46052.84,Closed,Collision claim for policy 19
151,67,2024-01-28,Theft,18435.82,Closed,Theft claim for policy 67
152,73,2025-12-30,Weather,23947.13,Closed,Weather claim for policy 73
153,20,2025-03-17,Collision,6296.33,Open,Collision claim for policy 20
154,17,2025-02-20,Collision,44782.62,Denied,Collision claim for policy 17
155,149,2024-03-06,Collision,15507.89,Denied,Collision claim for policy 149
156,59,2024-06-02,Weather,23165.29,Denied,Weather claim for policy 59
157,113,2025-11-11,Theft,19124.63,Open,Theft claim for policy 113
158,91,2024-11-28,Fire,1636.83,Closed,Fire claim for policy 91
159,117,2025-07-10,Weather,32491.97,Open,Weather claim for policy 117
160,21,2026-02-12,Liability,38269.35,Settled,Liability claim for policy 21
161,81,2024-10-21,Collision,36478.05,Denied,Collision claim for policy 81
162,36,2024-12-19,Collision,33732.27,Open,Collision claim for policy 36
163,67,2024-07-24,Theft,20015.98,Open,Theft claim for policy 67
164,31,2025-01-09,Collision,34437.25,Closed,Collision claim for policy 31
165,59,2025-09-09,Collision,10953.72,Open,Collision claim for policy 59
166,187,2024-08-20,Fire,19924.18,Open,Fire claim for policy 187
167,80,2026-01-03,Fire,13036.1,Closed,Fire claim for policy 80
168,170,2024-05-08,Weather,41148.16,Open,Weather claim for policy 170
169,132,2025-11-09,Theft,7058.16,Closed,Theft claim for policy 132
170,67,2024-08-04,Collision,13226.53,Denied,Collision claim for policy 67
171,33,2026-05-22,Liability,28286.53,Closed,Liability claim for policy 33
172,41,2026-05-28,Liability,44548.34,Denied,Liability claim for policy 41
173,27,2026-06-05,Weather,44917.83,Open,Weather claim for policy 27
174,68,2025-04-03,Fire,15976.31,Open,Fire claim for policy 68
175,144,2024-04-24,Weather,24035.68,Open,Weather claim for policy 144
176,155,2024-02-25,Liability,43643.99,Settled,Liability claim for policy 155
177,62,2024-07-09,Theft,18979.91,Open,Theft claim for policy 62
178,166,2025-02-04,Theft,28617.49,Open,Theft claim for policy 166
179,37,2024-07-08,Liability,14474,Closed,Liability claim for policy 37
180,31,2024-07-20,Collision,29552.16,Settled,Collision claim for policy 31
181,39,2026-02-10,Fire,19360.53,Denied,Fire claim for policy 39
182,62,2024-02-06,Collision,44159.75,Settled,Collision claim for policy 62
183,154,2024-02-25,Collision,4135.83,Closed,Collision claim for policy 154
184,167,2024-06-01,Fire,31288.91,Closed,Fire claim for policy 167
185,107,2024-10-18,Theft,658.15,Denied,Theft claim for policy 107
186,31,2024-09-17,Fire,36489.01,Open,Fire claim for policy 31
187,106,2024-05-20,Liability,31549.54,Denied,Liability claim for policy 106
188,52,2025-11-21,Liability,17341.69,Open,Liability claim for policy 52
189,138,2024-06-27,Theft,23383.55,Denied,Theft claim for policy 138
190,105,2024-06-03,Fire,23327.51,Closed,Fire claim for policy 105
191,118,2025-03-19,Weather,49723.63,Settled,Weather claim for policy 118
192,171,2024-08-07,Weather,15717.17,Open,Weather claim for policy 171
193,103,2025-01-26,Liability,37628.49,Closed,Liability claim for policy 103
194,75,2025-08-19,Fire,13176.65,Denied,Fire claim for policy 75
195,130,2025-07-18,Weather,15376.14,Settled,Weather claim for policy 130
196,24,2025-06-04,Fire,42874.77,Open,Fire claim for policy 24
197,178,2024-04-07,Weather,26917.59,Open,Weather claim for policy 178
198,197,2024-06-21,Liability,34376.24,Denied,Liability claim for policy 197
199,109,2024-05-30,Weather,29215.9,Closed,Weather claim for policy 109
200,116,2026-05-11,Fire,19970.28,Settled,Fire claim for policy 116
201,134,2024-03-01,Weather,2507.79,Open,Weather claim for policy 134
202,43,2024-03-05,Liability,28155.86,Denied,Liability claim for policy 43
203,81,2024-08-01,Theft,40537.38,Open,Theft claim for policy 81
204,192,2024-11-17,Fire,45439.25,Settled,Fire claim for policy 192
205,170,2026-02-23,Fire,24936.71,Open,Fire claim for policy 170
206,44,2025-08-22,Weather,45575.43,Settled,Weather claim for policy 44
207,53,2024-05-05,Weather,46183.61,Settled,Weather claim for policy 53
208,189,2024-01-28,Liability,11542.23,Settled,Liability claim for policy 189
209,86,2024-04-23,Collision,15917.99,Open,Collision claim for policy 86
210,152,2026-05-02,Theft,33812.37,Open,Theft claim for policy 152
211,151,2024-01-31,Theft,35491.3,Closed,Theft claim for policy 151
212,192,2025-04-09,Collision,49800.82,Open,Collision claim for policy 192
213,154,2026-04-15,Theft,34144.57,Closed,Theft claim for policy 154
214,153,2024-08-27,Collision,31096.91,Closed,Collision claim for policy 153
215,41,2026-05-31,Fire,4809.92,Settled,Fire claim for policy 41
216,175,2025-07-23,Theft,21276.69,Closed,Theft claim for policy 175
217,83,2024-06-28,Theft,11573.54,Closed,Theft claim for policy 83
218,117,2025-12-26,Fire,6607.29,Closed,Fire claim for policy 117
219,56,2024-01-18,Collision,18658.26,Settled,Collision claim for policy 56
220,48,2026-01-10,Liability,40774.65,Settled,Liability claim for policy 48
221,18,2025-03-18,Collision,6411.5,Closed,Collision claim for policy 18
222,8,2025-04-25,Weather,17578.86,Denied,Weather claim for policy 8
223,77,2024-12-28,Theft,25032.16,Denied,Theft claim for policy 77
224,161,2024-08-26,Collision,386.07,Closed,Collision claim for policy 161
225,9,2024-03-02,Liability,40382.74,Settled,Liability claim for policy 9
226,180,2024-04-08,Fire,17992.47,Closed,Fire claim for policy 180
227,29,2024-10-19,Fire,20979.22,Closed,Fire claim for policy 29
228,17,2025-08-16,Liability,28892.59,Open,Liability claim for policy 17
229,117,2024-08-01,Collision,7930.36,Open,Collision claim for policy 117
230,197,2024-10-03,Fire,35010.9,Closed,Fire claim for policy 197
231,196,2026-01-18,Weather,31527.21,Denied,Weather claim for policy 196
232,125,2024-12-22,Collision,9308.61,Open,Collision claim for policy 125
233,21,2024-06-19,Liability,22779.08,Open,Liability claim for policy 21
234,132,2025-10-30,Collision,23995.37,Closed,Collision claim for policy 132
235,158,2025-01-15,Collision,21340.04,Settled,Collision claim for policy 158
236,191,2024-04-11,Collision,30507.51,Closed,Collision claim for policy 191
237,151,2025-06-10,Collision,30684.7,Denied,Collision claim for policy 151
238,170,2026-03-09,Theft,7834.42,Settled,Theft claim for policy 170
239,76,2025-03-29,Theft,24499.72,Open,Theft claim for policy 76
240,166,2026-06-08,Fire,9240.05,Denied,Fire claim for policy 166
241,72,2026-03-18,Weather,39582.22,Settled,Weather claim for policy 72
242,68,2026-04-09,Liability,29563.36,Closed,Liability claim for policy 68
243,116,2024-03-28,Weather,35373.49,Closed,Weather claim for policy 116
244,163,2026-05-15,Weather,22727.11,Closed,Weather claim for policy 163
245,30,2025-01-06,Weather,37967.94,Denied,Weather claim for policy 30
246,84,2024-12-09,Collision,37311.86,Denied,Collision claim for policy 84
247,52,2026-04-01,Weather,19272.99,Denied,Weather claim for policy 52
248,13,2024-11-20,Weather,396.84,Closed,Weather claim for policy 13
249,150,2025-03-03,Liability,43738.77,Settled,Liability claim for policy 150
250,148,2026-02-25,Weather,31666.18,Closed,Weather claim for policy 148
251,76,2024-04-17,Fire,39535.87,Open,Fire claim for policy 76
252,136,2024-10-16,Fire,46795.15,Open,Fire claim for policy 136
253,13,2024-08-25,Weather,6860.7,Open,Weather claim for policy 13
254,2,2024-01-23,Weather,38165.22,Closed,Weather claim for policy 2
255,29,2024-01-22,Liability,23139.83,Settled,Liability claim for policy 29
256,89,2025-10-27,Weather,10425.1,Denied,Weather claim for policy 89
257,175,2024-03-21,Collision,13634.14,Denied,Collision claim for policy 175
258,191,2025-11-20,Theft,19612.76,Open,Theft claim for policy 191
259,82,2025-03-13,Weather,2916.38,Closed,Weather claim for policy 82
260,63,2025-01-10,Collision,8739.41,Settled,Collision claim for policy 63
261,136,2025-07-28,Collision,48868.2,Settled,Collision claim for policy 136
262,200,2025-01-10,Liability,37706.54,Settled,Liability claim for policy 200
263,146,2025-01-03,Liability,6211.04,Denied,Liability claim for policy 146
264,97,2025-04-14,Weather,39672.14,Settled,Weather claim for policy 97
265,131,2024-06-23,Liability,16907.73,Settled,Liability claim for policy 131
266,46,2025-04-05,Liability,38937.56,Closed,Liability claim for policy 46
267,88,2024-03-16,Fire,10301.32,Denied,Fire claim for policy 88
268,132,2025-10-31,Liability,5378,Settled,Liability claim for policy 132
269,155,2024-01-21,Fire,12281.57,Open,Fire claim for policy 155
270,181,2025-03-29,Liability,21224.1,Open,Liability claim for policy 181
271,137,2024-04-01,Collision,37844.72,Denied,Collision claim for policy 137
272,79,2025-11-24,Theft,6991.04,Closed,Theft claim for policy 79
273,71,2025-03-10,Weather,22264.99,Closed,Weather claim for policy 71
274,67,2024-05-18,Fire,4792.68,Closed,Fire claim for policy 67
275,46,2024-07-25,Fire,18778.73,Denied,Fire claim for policy 46
276,72,2024-11-04,Collision,25321.23,Open,Collision claim for policy 72
277,12,2025-11-15,Liability,47229.46,Open,Liability claim for policy 12
278,193,2024-07-16,Theft,1547.95,Settled,Theft claim for policy 193
279,72,2024-09-15,Liability,18202.22,Open,Liability claim for policy 72
280,141,2025-02-09,Weather,26363.01,Settled,Weather claim for policy 141
281,181,2024-03-24,Theft,2861.97,Closed,Theft claim for policy 181
282,46,2025-11-02,Liability,6692.37,Open,Liability claim for policy 46
283,57,2024-02-28,Collision,47409.38,Settled,Collision claim for policy 57
284,51,2024-04-16,Liability,18680.09,Closed,Liability claim for policy 51
285,102,2024-02-22,Fire,29103.74,Open,Fire claim for policy 102
286,19,2025-10-20,Fire,23607.48,Settled,Fire claim for policy 19
287,86,2024-05-15,Fire,45376.21,Closed,Fire claim for policy 86
288,156,2025-07-14,Weather,37245.25,Open,Weather claim for policy 156
289,142,2025-07-30,Collision,22976.46,Denied,Collision claim for policy 142
290,170,2025-08-26,Fire,2123.37,Open,Fire claim for policy 170
291,132,2025-06-30,Fire,35247.49,Settled,Fire claim for policy 132
292,59,2024-02-05,Weather,8929.31,Settled,Weather claim for policy 59
293,9,2025-03-10,Weather,20144.96,Closed,Weather claim for policy 9
294,20,2025-07-10,Theft,26587.09,Open,Theft claim for policy 20
295,61,2026-03-20,Theft,15329.32,Denied,Theft claim for policy 61
296,37,2025-03-31,Fire,43320.29,Settled,Fire claim for policy 37
297,53,2024-01-03,Collision,37285.3,Denied,Collision claim for policy 53
298,106,2025-06-26,Collision,28581.84,Denied,Collision claim for policy 106
299,104,2024-03-23,Fire,13469.55,Closed,Fire claim for policy 104
300,71,2024-07-17,Weather,2307.01,Open,Weather claim for policy 71
301,109,2024-10-12,Weather,23913.64,Denied,Weather claim for policy 109
302,129,2024-08-23,Collision,22001.03,Closed,Collision claim for policy 129
303,156,2024-02-27,Collision,33044.76,Settled,Collision claim for policy 156
304,51,2024-01-07,Collision,49317.16,Closed,Collision claim for policy 51
305,81,2025-11-02,Weather,42976.83,Open,Weather claim for policy 81
306,185,2026-06-12,Theft,38042,Denied,Theft claim for policy 185
307,133,2024-09-22,Theft,49229.58,Open,Theft claim for policy 133
308,39,2025-12-01,Weather,10037.28,Denied,Weather claim for policy 39
309,9,2024-10-08,Weather,42744.32,Closed,Weather claim for policy 9
310,163,2024-04-24,Liability,48654.89,Closed,Liability claim for policy 163
311,126,2024-12-29,Collision,38549.16,Open,Collision claim for policy 126
312,4,2024-01-27,Liability,39264.67,Denied,Liability claim for policy 4
313,34,2025-11-26,Theft,2510.01,Denied,Theft claim for policy 34
314,45,2024-10-27,Liability,21860.46,Settled,Liability claim for policy 45
315,171,2025-08-03,Weather,20189.83,Denied,Weather claim for policy 171
316,5,2026-02-13,Fire,38460.57,Closed,Fire claim for policy 5
317,166,2024-07-30,Weather,17058.86,Settled,Weather claim for policy 166
318,7,2024-09-04,Collision,33824.47,Denied,Collision claim for policy 7
319,86,2025-11-08,Liability,49696.62,Closed,Liability claim for policy 86
320,196,2026-01-15,Theft,15215.86,Closed,Theft claim for policy 196
321,157,2024-08-15,Collision,12737.58,Open,Collision claim for policy 157
322,16,2024-09-29,Collision,49179.38,Open,Collision claim for policy 16
323,100,2024-05-13,Weather,19397.24,Open,Weather claim for policy 100
324,22,2026-03-18,Liability,24155.27,Settled,Liability claim for policy 22
325,195,2025-10-13,Theft,12920.82,Denied,Theft claim for policy 195
326,12,2026-01-16,Collision,14225.89,Closed,Collision claim for policy 12
327,139,2024-01-02,Liability,23500.49,Open,Liability claim for policy 139
328,115,2026-04-09,Collision,38861.39,Closed,Collision claim for policy 115
329,114,2024-07-09,Collision,1415.92,Closed,Collision claim for policy 114
330,74,2024-10-19,Weather,46153.7,Open,Weather claim for policy 74
331,117,2025-02-02,Collision,32518.52,Open,Collision claim for policy 117
332,180,2024-09-26,Liability,21296.47,Settled,Liability claim for policy 180
333,50,2026-06-01,Weather,10967.55,Open,Weather claim for policy 50
334,181,2025-10-28,Collision,11074.64,Open,Collision claim for policy 181
335,101,2024-04-06,Fire,42711.94,Settled,Fire claim for policy 101
336,75,2024-10-11,Fire,40154.76,Closed,Fire claim for policy 75
337,13,2024-11-30,Weather,12507.4,Open,Weather claim for policy 13
338,76,2025-02-12,Weather,45058.88,Open,Weather claim for policy 76
339,44,2026-01-21,Weather,33406.86,Settled,Weather claim for policy 44
340,96,2025-07-17,Fire,18311.44,Denied,Fire claim for policy 96
341,81,2025-08-23,Liability,47735.94,Open,Liability claim for policy 81
342,88,2026-06-01,Weather,19962.3,Denied,Weather claim for policy 88
343,26,2025-09-17,Fire,11885.06,Settled,Fire claim for policy 26
344,124,2025-07-12,Collision,28485.49,Closed,Collision claim for policy 124
345,85,2025-01-01,Weather,3336.34,Open,Weather claim for policy 85
346,41,2025-07-23,Weather,49500.47,Denied,Weather claim for policy 41
347,167,2024-09-24,Weather,27827.59,Closed,Weather claim for policy 167
348,128,2025-11-24,Weather,11726.54,Denied,Weather claim for policy 128
349,84,2025-02-04,Weather,10986.92,Open,Weather claim for policy 84
350,14,2024-02-25,Collision,32688.23,Open,Collision claim for policy 14
351,18,2024-07-14,Theft,13670.97,Denied,Theft claim for policy 18
352,144,2024-07-28,Weather,42048.37,Denied,Weather claim for policy 144
353,63,2026-04-24,Theft,36579.71,Closed,Theft claim for policy 63
354,157,2025-09-22,Collision,49536.73,Settled,Collision claim for policy 157
355,14,2026-03-06,Liability,16640.87,Closed,Liability claim for policy 14
356,52,2024-03-11,Fire,20097.46,Denied,Fire claim for policy 52
357,34,2024-03-10,Weather,38001.51,Denied,Weather claim for policy 34
358,110,2025-09-15,Collision,8760.12,Settled,Collision claim for policy 110
359,179,2025-09-03,Theft,24277.56,Closed,Theft claim for policy 179
360,182,2024-01-27,Collision,37355.25,Denied,Collision claim for policy 182
361,116,2025-09-16,Weather,6690.58,Closed,Weather claim for policy 116
362,106,2024-11-16,Liability,12796.63,Open,Liability claim for policy 106
363,125,2025-07-09,Collision,46635.17,Settled,Collision claim for policy 125
364,197,2024-07-18,Fire,39419.28,Closed,Fire claim for policy 197
365,92,2024-08-21,Liability,33847.16,Closed,Liability claim for policy 92
366,173,2024-11-13,Theft,14772.62,Denied,Theft claim for policy 173
367,49,2024-03-31,Theft,26703.06,Denied,Theft claim for policy 49
368,37,2026-05-13,Collision,48329.66,Denied,Collision claim for policy 37
369,97,2026-06-11,Fire,37233.59,Closed,Fire claim for policy 97
370,65,2025-01-04,Theft,35193.5,Denied,Theft claim for policy 65
371,179,2024-10-21,Collision,40833.97,Settled,Collision claim for policy 179
372,149,2024-03-30,Theft,33886.02,Closed,Theft claim for policy 149
373,185,2024-01-22,Collision,23938.65,Open,Collision claim for policy 185
374,87,2025-03-14,Weather,4242.47,Closed,Weather claim for policy 87
375,52,2026-04-19,Weather,42543.84,Settled,Weather claim for policy 52
376,187,2026-02-12,Collision,48911.95,Open,Collision claim for policy 187
377,66,2024-12-11,Theft,8607.74,Closed,Theft claim for policy 66
378,137,2024-08-20,Theft,38461.42,Settled,Theft claim for policy 137
379,120,2024-10-19,Collision,15133.76,Open,Collision claim for policy 120
380,155,2024-02-05,Liability,46549.6,Settled,Liability claim for policy 155
381,21,2024-11-04,Fire,39141.92,Denied,Fire claim for policy 21
382,130,2024-02-17,Liability,28175.84,Open,Liability claim for policy 130
383,110,2025-12-31,Liability,10826.83,Closed,Liability claim for policy 110
384,6,2024-07-25,Collision,4284.11,Open,Collision claim for policy 6
385,11,2024-11-10,Collision,37561.65,Open,Collision claim for policy 11
386,167,2025-12-10,Fire,46964.52,Settled,Fire claim for policy 167
387,131,2024-12-01,Liability,26649.05,Closed,Liability claim for policy 131
388,76,2024-12-07,Fire,14644.36,Settled,Fire claim for policy 76
389,61,2026-01-29,Collision,35001.41,Denied,Collision claim for policy 61
390,72,2024-06-22,Fire,47489.57,Closed,Fire claim for policy 72
391,46,2024-06-14,Collision,16814.38,Closed,Collision claim for policy 46
392,96,2024-08-07,Liability,31229.96,Open,Liability claim for policy 96
393,15,2025-10-03,Liability,37932.19,Closed,Liability claim for policy 15
394,124,2024-06-25,Liability,18650.73,Denied,Liability claim for policy 124
395,87,2025-10-28,Fire,49268.47,Settled,Fire claim for policy 87
396,62,2025-07-04,Collision,35502.77,Closed,Collision claim for policy 62
397,45,2024-10-15,Weather,31369.97,Open,Weather claim for policy 45
398,164,2024-02-15,Liability,39832.25,Open,Liability claim for policy 164
399,119,2026-01-28,Collision,34842.7,Denied,Collision claim for policy 119
400,67,2025-01-19,Collision,44466.45,Settled,Collision claim for policy 67
