policy_id,policy_number,policy_holder_id,effective_date,expiration_date,policy_type,premium_amount
63,P-20260063,100,2025-06-20,2026-06-20,Auto,2185.87
64,P-20260064,15,2025-11-24,2026-11-24,Auto,345.28
65,P-20260065,188,2025-10-15,2026-10-15,Home,1213.17
66,P-20260066,35,2026-02-03,2027-02-03,Life,833.89
67,P-20260067,11,2026-04-05,2027-04-05,Home,205.22
68,P-20260068,25,2025-07-08,2026-07-08,Commercial,1549.64
69,P-20260069,74,2026-05-28,2027-05-28,Auto,3569.91
70,P-20260070,95,2025-11-12,2026-11-12,Auto,719.68
71,P-20260071,178,2026-01-22,2027-01-22,Home,2947.14
72,P-20260072,152,2026-03-31,2027-03-31,Auto,4766.49
73,P-20260073,67,2025-06-20,2026-06-20,Commercial,4608.22
74,P-20260074,114,2026-02-13,2027-02-13,Auto,354.8
75,P-20260075,180,2025-08-24,2026-08-24,Life,4989.27
76,P-20260076,54,2026-04-13,2027-04-13,Home,574.97
77,P-20260077,100,2026-04-26,2027-04-26,Home,3379.67
78,P-20260078,26,2025-06-29,2026-06-29,Auto,1953.24
79,P-20260079,36,2026-02-03,2027-02-03,Commercial,3809.84
80,P-20260080,181,2025-11-17,2026-11-17,Life,657.23
81,P-20260081,191,2025-07-12,2026-07-12,Auto,2226.72
82,P-20260082,6,2025-11-05,2026-11-05,Commercial,3308.45
83,P-20260083,35,2025-12-07,2026-12-07,Auto,2481.49
84,P-20260084,130,2025-08-05,2026-08-05,Auto,2191.01
85,P-20260085,9,2025-07-08,2026-07-08,Auto,3510.95
86,P-20260086,120,2025-12-07,2026-12-07,Auto,4795.12
87,P-20260087,13,2025-11-11,2026-11-11,Home,4787.39
88,P-20260088,83,2025-06-27,2026-06-27,Auto,2320.98
89,P-20260089,155,2026-05-13,2027-05-13,Home,4968.87
90,P-20260090,87,2025-09-18,2026-09-18,Auto,3931.45
91,P-20260091,122,2025-11-24,2026-11-24,Life,4933.66
92,P-20260092,96,2026-01-19,2027-01-19,Home,313.94
93,P-20260093,176,2025-10-31,2026-10-31,Commercial,1013.63
94,P-20260094,133,2025-07-18,2026-07-18,Auto,2699.78
95,P-20260095,77,2025-09-05,2026-09-05,Auto,3081.13
96,P-20260096,82,2026-04-28,2027-04-28,Auto,1330.52
97,P-20260097,188,2025-12-04,2026-12-04,Auto,423.41
98,P-20260098,51,2025-12-09,2026-12-09,Commercial,4054.35
99,P-20260099,135,2025-11-17,2026-11-17,Auto,217.18
100,P-20260100,2,2026-02-09,2027-02-09,Commercial,2337.72
101,P-20260101,125,2026-03-15,2027-03-15,Commercial,2206.57
102,P-20260102,142,2026-01-25,2027-01-25,Auto,3558.24
103,P-20260103,160,2026-01-29,2027-01-29,Home,3425.31
104,P-20260104,197,2026-03-23,2027-03-23,Commercial,3841.82
105,P-20260105,151,2025-10-16,2026-10-16,Auto,1530.49
106,P-20260106,178,2025-08-04,2026-08-04,Home,4004.54
107,P-20260107,145,2026-05-06,2027-05-06,Auto,520.64
108,P-20260108,175,2025-09-29,2026-09-29,Commercial,3506.29
109,P-20260109,187,2026-05-08,2027-05-08,Auto,1181.11
110,P-20260110,171,2026-02-23,2027-02-23,Auto,705.4
111,P-20260111,191,2025-12-11,2026-12-11,Life,1813.16
112,P-20260112,43,2026-05-25,2027-05-25,Commercial,3302.41
113,P-20260113,158,2025-12-05,2026-12-05,Commercial,3666.9
114,P-20260114,70,2026-03-27,2027-03-27,Home,1642.96
115,P-20260115,136,2026-04-03,2027-04-03,Commercial,2080.2
116,P-20260116,131,2025-08-30,2026-08-30,Home,1207.3
117,P-20260117,99,2025-09-04,2026-09-04,Commercial,3330.37
118,P-20260118,101,2025-09-02,2026-09-02,Home,4878.05
119,P-20260119,95,2026-04-30,2027-04-30,Auto,2954.73
120,P-20260120,4,2026-01-07,2027-01-07,Commercial,1451.55
121,P-20260121,49,2025-08-23,2026-08-23,Commercial,1916.31
122,P-20260122,190,2025-08-31,2026-08-31,Auto,1832.93
123,P-20260123,79,2026-03-17,2027-03-17,Home,2524.02
124,P-20260124,59,2026-06-09,2027-06-09,Life,4894.6
125,P-20260125,119,2026-03-29,2027-03-29,Auto,4256.34
126,P-20260126,65,2026-01-18,2027-01-18,Commercial,463.41
127,P-20260127,73,2025-08-11,2026-08-11,Auto,1989.58
128,P-20260128,181,2025-09-26,2026-09-26,Auto,635.72
129,P-20260129,165,2025-08-17,2026-08-17,Commercial,2556.77
130,P-20260130,113,2025-08-12,2026-08-12,Auto,1052.7
131,P-20260131,180,2025-08-28,2026-08-28,Life,4895.41
132,P-20260132,198,2026-06-04,2027-06-04,Home,4486.22
133,P-20260133,84,2026-01-31,2027-01-31,Auto,2266.85
134,P-20260134,2,2026-01-01,2027-01-01,Home,4266.64
135,P-20260135,50,2025-08-08,2026-08-08,Commercial,3028.37
136,P-20260136,73,2025-07-22,2026-07-22,Commercial,445.54
137,P-20260137,171,2025-10-14,2026-10-14,Commercial,893.89
138,P-20260138,99,2026-02-23,2027-02-23,Life,3030.15
139,P-20260139,101,2025-10-22,2026-10-22,Life,2383.52
140,P-20260140,136,2026-01-20,2027-01-20,Home,232.51
141,P-20260141,6,2025-11-26,2026-11-26,Home,3574.03
142,P-20260142,131,2026-03-06,2027-03-06,Life,3733.19
143,P-20260143,200,2026-04-28,2027-04-28,Home,1482.26
144,P-20260144,144,2026-02-07,2027-02-07,Commercial,2733.69
145,P-20260145,100,2025-10-07,2026-10-07,Auto,2693.86
146,P-20260146,1,2026-05-20,2027-05-20,Auto,3373.51
147,P-20260147,153,2025-11-18,2026-11-18,Commercial,1176.13
148,P-20260148,135,2025-10-04,2026-10-04,Life,930.58
149,P-20260149,72,2026-05-16,2027-05-16,Home,947.0
150,P-20260150,101,2026-03-07,2027-03-07,Home,1049.63
151,P-20260151,56,2026-05-07,2027-05-07,Auto,2513.42
152,P-20260152,78,2025-12-18,2026-12-18,Home,4713.33
153,P-20260153,190,2026-05-26,2027-05-26,Commercial,2779.66
154,P-20260154,125,2025-11-25,2026-11-25,Auto,1953.43
155,P-20260155,109,2026-05-13,2027-05-13,Auto,4993.81
156,P-20260156,6,2026-04-01,2027-04-01,Commercial,3562.77
157,P-20260157,68,2025-11-01,2026-11-01,Commercial,3561.61
158,P-20260158,106,2025-08-01,2026-08-01,Commercial,2724.36
159,P-20260159,102,2025-06-30,2026-06-30,Commercial,3466.11
160,P-20260160,114,2025-07-17,2026-07-17,Commercial,4402.17
161,P-20260161,187,2025-10-06,2026-10-06,Auto,272.71
162,P-20260162,7,2025-08-12,2026-08-12,Life,2387.22
163,P-20260163,126,2026-03-30,2027-03-30,Commercial,2796.04
164,P-20260164,127,2025-11-21,2026-11-21,Life,2656.18
165,P-20260165,188,2025-09-30,2026-09-30,Home,3118.76
166,P-20260166,46,2026-04-29,2027-04-29,Life,402.81
167,P-20260167,38,2026-03-02,2027-03-02,Commercial,1294.47
168,P-20260168,12,2026-01-29,2027-01-29,Home,268.05
169,P-20260169,145,2026-01-17,2027-01-17,Commercial,4486.24
170,P-20260170,127,2026-02-09,2027-02-09,Life,4936.74
171,P-20260171,52,2025-12-08,2026-12-08,Auto,2788.6
172,P-20260172,48,2025-08-15,2026-08-15,Commercial,218.73
173,P-20260173,30,2025-12-04,2026-12-04,Life,2989.44
174,P-20260174,39,2026-03-26,2027-03-26,Auto,4338.3
175,P-20260175,167,2026-01-19,2027-01-19,Home,228.55
176,P-20260176,129,2025-10-10,2026-10-10,Commercial,4902.68
177,P-20260177,5,2025-10-20,2026-10-20,Life,1952.35
178,P-20260178,54,2025-09-07,2026-09-07,Auto,2315.05
179,P-20260179,81,2026-02-07,2027-02-07,Auto,1724.24
180,P-20260180,186,2025-09-04,2026-09-04,Commercial,4453.42
181,P-20260181,37,2026-04-22,2027-04-22,Life,4258.27
182,P-20260182,142,2025-07-02,2026-07-02,Life,2281.51
183,P-20260183,182,2025-10-22,2026-10-22,Home,949.24
184,P-20260184,173,2025-08-22,2026-08-22,Life,4592.65
185,P-20260185,196,2026-01-14,2027-01-14,Home,1535.03
186,P-20260186,1,2025-10-28,2026-10-28,Home,4573.75
187,P-20260187,85,2026-04-11,2027-04-11,Life,2164.34
188,P-20260188,163,2025-08-27,2026-08-27,Home,4685.38
189,P-20260189,178,2025-10-31,2026-10-31,Life,4803.85
190,P-20260190,55,2025-07-18,2026-07-18,Auto,854.93
191,P-20260191,108,2025-10-20,2026-10-20,Life,2908.33
192,P-20260192,87,2026-04-12,2027-04-12,Life,1122.5
193,P-20260193,100,2026-06-04,2027-06-04,Commercial,576.26
194,P-20260194,74,2026-04-18,2027-04-18,Auto,2286.77
195,P-20260195,45,2025-11-04,2026-11-04,Home,2415.37
196,P-20260196,113,2025-06-30,2026-06-30,Home,4582.77
197,P-20260197,126,2026-06-09,2027-06-09,Commercial,1943.66
198,P-20260198,146,2025-10-15,2026-10-15,Commercial,2354.96
199,P-20260199,189,2025-08-18,2026-08-18,Life,3184.93
200,P-20260200,190,2026-05-10,2027-05-10,Life,4907.41
